farm_id,crop_age_months,farm_acreage,sugarcane_variety,soil_type,rainfall_mm,irrigation_type,fertilizer_kg_per_acre,bagasse_tons,leaves_tons,press_mud_tons,district,latitude,longitude,ndvi_scene1,ndvi_scene2,ndvi_scene3,ndvi_scene1_date,ndvi_scene2_date,ndvi_scene3_date,ndvi_trend_pct,harvest_ready,cluster_id
F0001,14,11.79,Co-86032,Clay,963.7,Rainfed,192.3,44.54,17.92,6.34,Sangli,16.71183,74.62411,0.731,0.717,0.695,2026-07-22,2026-08-06,2026-08-21,-4.92,True,8
F0002,11,3.29,CoM-0265,Black Cotton,868.1,Drip,216.9,9.53,2.8,1.25,Satara,17.72142,73.89354,0.807,0.791,0.804,2026-07-22,2026-08-06,2026-08-21,-0.37,False,
F0003,15,9.9,CoM-0265,Sandy,1327.9,Drip,157.8,43.66,16.35,5.41,Pune,18.46471,73.75519,0.743,0.705,0.7,2026-07-22,2026-08-06,2026-08-21,-5.79,True,9
F0004,12,17.05,Co-86032,Black Cotton,814.8,Drip,125.2,51.8,15.79,8.2,Solapur,17.66247,76.02597,0.803,0.772,0.761,2026-07-22,2026-08-06,2026-08-21,-5.23,True,10
F0005,14,16.98,Co-86032,Clay,767.3,Rainfed,86.1,63.77,18.01,8.93,Kolhapur,16.82727,74.27523,0.689,0.698,0.733,2026-07-22,2026-08-06,2026-08-21,6.39,False,
F0006,17,15.19,CoM-0265,Clay,859.0,Drip,209.5,72.26,26.87,9.94,Kolhapur,16.62979,74.09606,0.644,0.619,0.582,2026-07-22,2026-08-06,2026-08-21,-9.63,True,11
F0007,10,7.59,CoM-0265,Black Cotton,867.4,Rainfed,208.7,21.74,8.85,2.82,Kolhapur,16.67811,74.12374,0.837,0.843,0.786,2026-07-22,2026-08-06,2026-08-21,-6.09,False,
F0008,14,14.47,Co-94012,Clay,1069.1,Flood,115.4,53.47,22.76,7.14,Ahmednagar,19.17147,74.79705,0.747,0.704,0.699,2026-07-22,2026-08-06,2026-08-21,-6.43,True,0
F0009,15,10.19,Co-94012,Black Cotton,551.7,Rainfed,177.4,44.25,15.13,6.77,Pune,18.43904,73.70822,0.684,0.669,0.678,2026-07-22,2026-08-06,2026-08-21,-0.88,False,
F0010,12,24.32,Co-86032,Sandy,1035.2,Rainfed,90.6,83.06,33.04,7.39,Pune,18.39349,73.75494,0.788,0.78,0.759,2026-07-22,2026-08-06,2026-08-21,-3.68,True,12
F0011,11,21.37,Co-94012,Black Cotton,841.7,Flood,103.3,55.89,17.68,9.39,Kolhapur,16.64193,74.25792,0.83,0.81,0.749,2026-07-22,2026-08-06,2026-08-21,-9.76,True,1
F0012,15,18.32,Co-0238,Sandy,1105.4,Rainfed,110.4,64.96,31.77,10.76,Satara,17.57887,74.07587,0.717,0.675,0.668,2026-07-22,2026-08-06,2026-08-21,-6.83,True,2
F0013,15,6.66,Co-94012,Black Cotton,940.5,Drip,121.2,27.44,9.54,4.29,Ahmednagar,19.22371,74.79359,0.676,0.676,0.644,2026-07-22,2026-08-06,2026-08-21,-4.73,True,13
F0014,10,7.15,Co-94012,Clay,1053.7,Drip,219.4,18.34,7.52,2.86,Kolhapur,16.79744,74.16058,0.843,0.84,0.833,2026-07-22,2026-08-06,2026-08-21,-1.19,False,
F0015,13,1.97,Co-0238,Black Cotton,871.7,Rainfed,177.6,6.33,2.8,1.17,Kolhapur,16.74502,74.30695,0.751,0.716,0.737,2026-07-22,2026-08-06,2026-08-21,-1.86,False,
F0016,12,18.06,Co-86032,Clay,1037.6,Drip,133.8,58.94,22.74,10.61,Kolhapur,16.81644,74.16447,0.777,0.747,0.741,2026-07-22,2026-08-06,2026-08-21,-4.63,True,14
F0017,9,3.66,Co-0238,Black Cotton,1282.8,Rainfed,183.2,8.44,3.2,1.11,Sangli,16.9435,74.52912,0.855,0.821,0.84,2026-07-22,2026-08-06,2026-08-21,-1.75,False,
F0018,15,11.54,Co-94012,Black Cotton,802.2,Drip,208.1,46.59,16.42,5.31,Solapur,17.56587,75.98035,0.708,0.681,0.649,2026-07-22,2026-08-06,2026-08-21,-8.33,True,15
