farm_id,farm_acreage,crop_age_months,cane_tonnes,trash_tons,tops_tons,bagasse_tons,press_mud_tons,total_residue_tons
F0001,11.79,14,353.7,35.37,35.37,106.11,10.61,187.46
F0002,3.29,11,90.48,9.05,9.05,27.14,2.71,47.95
F0003,9.9,15,297.0,29.7,29.7,89.1,8.91,157.41
F0004,17.05,12,511.5,51.15,51.15,153.45,15.34,271.09
F0005,16.98,14,509.4,50.94,50.94,152.82,15.28,269.98
F0006,15.19,17,455.7,45.57,45.57,136.71,13.67,241.52
F0007,7.59,10,189.75,18.98,18.98,56.92,5.69,100.57
F0008,14.47,14,434.1,43.41,43.41,130.23,13.02,230.07
F0009,10.19,15,305.7,30.57,30.57,91.71,9.17,162.02
F0010,24.32,12,729.6,72.96,72.96,218.88,21.89,386.69
F0011,21.37,11,587.68,58.77,58.77,176.3,17.63,311.47
F0012,18.32,15,549.6,54.96,54.96,164.88,16.49,291.29
F0013,6.66,15,199.8,19.98,19.98,59.94,5.99,105.89
F0014,7.15,10,178.75,17.88,17.88,53.62,5.36,94.74
F0015,1.97,13,59.1,5.91,5.91,17.73,1.77,31.32
F0016,18.06,12,541.8,54.18,54.18,162.54,16.25,287.15
F0017,3.66,9,0.0,0.0,0.0,0.0,0.0,0.0
F0018,11.54,15,346.2,34.62,34.62,103.86,10.39,183.49
F0019,5.84,13,175.2,17.52,17.52,52.56,5.26,92.86
F0020,22.5,9,0.0,0.0,0.0,0.0,0.0,0.0
F0021,12.41,12,372.3,37.23,37.23,111.69,11.17,197.32
F0022,14.52,8,0.0,0.0,0.0,0.0,0.0,0.0
F0023,17.69,17,530.7,53.07,53.07,159.21,15.92,281.27
F0024,4.34,13,130.2,13.02,13.02,39.06,3.91,69.01
F0025,15.51,16,465.3,46.53,46.53,139.59,13.96,246.61
F0026,13.96,8,0.0,0.0,0.0,0.0,0.0,0.0
F0027,5.87,17,176.1,17.61,17.61,52.83,5.28,93.33
F0028,23.63,10,590.75,59.08,59.08,177.22,17.72,313.1
F0029,15.37,14,461.1,46.11,46.11,138.33,13.83,244.38
F0030,17.67,11,485.93,48.59,48.59,145.78,14.58,257.54
F0031,22.13,16,663.9,66.39,66.39,199.17,19.92,351.87
F0032,15.98,10,399.5,39.95,39.95,119.85,11.98,211.73
F0033,8.1,12,243.0,24.3,24.3,72.9,7.29,128.79
F0034,3.53,10,88.25,8.83,8.83,26.48,2.65,46.79
F0035,11.96,14,358.8,35.88,35.88,107.64,10.76,190.16
F0036,6.24,12,187.2,18.72,18.72,56.16,5.62,99.22
F0037,11.0,16,330.0,33.0,33.0,99.0,9.9,174.9
F0038,22.2,14,666.0,66.6,66.6,199.8,19.98,352.98
F0039,8.78,9,0.0,0.0,0.0,0.0,0.0,0.0
F0040,3.93,11,108.08,10.81,10.81,32.42,3.24,57.28
F0041,9.55,16,286.5,28.65,28.65,85.95,8.59,151.84
F0042,22.76,9,0.0,0.0,0.0,0.0,0.0,0.0
F0043,7.53,17,225.9,22.59,22.59,67.77,6.78,119.73
F0044,16.54,16,496.2,49.62,49.62,148.86,14.89,262.99
F0045,1.01,17,30.3,3.03,3.03,9.09,0.91,16.06
F0046,9.46,12,283.8,28.38,28.38,85.14,8.51,150.41
F0047,8.31,9,0.0,0.0,0.0,0.0,0.0,0.0
F0048,4.95,11,136.12,13.61,13.61,40.84,4.08,72.14
F0049,13.82,14,414.6,41.46,41.46,124.38,12.44,219.74
F0050,12.64,15,379.2,37.92,37.92,113.76,11.38,200.98
F0051,17.62,10,440.5,44.05,44.05,132.15,13.22,233.47
F0052,7.47,8,0.0,0.0,0.0,0.0,0.0,0.0
F0053,6.86,11,188.65,18.87,18.87,56.6,5.66,100.0
F0054,5.04,9,0.0,0.0,0.0,0.0,0.0,0.0
F0055,6.25,15,187.5,18.75,18.75,56.25,5.62,99.37
F0056,14.39,11,395.72,39.57,39.57,118.72,11.87,209.73
F0057,10.69,9,0.0,0.0,0.0,0.0,0.0,0.0
F0058,2.56,13,76.8,7.68,7.68,23.04,2.3,40.7
F0059,7.09,13,212.7,21.27,21.27,63.81,6.38,112.73
F0060,6.93,17,207.9,20.79,20.79,62.37,6.24,110.19
F0061,17.71,11,487.02,48.7,48.7,146.11,14.61,258.12
F0062,18.09,13,542.7,54.27,54.27,162.81,16.28,287.63
F0063,4.55,9,0.0,0.0,0.0,0.0,0.0,0.0
F0064,24.95,17,748.5,74.85,74.85,224.55,22.46,396.71
F0065,7.4,9,0.0,0.0,0.0,0.0,0.0,0.0
F0066,24.44,17,733.2,73.32,73.32,219.96,22.0,388.6
F0067,10.86,11,298.65,29.86,29.86,89.59,8.96,158.27
F0068,1.79,15,53.7,5.37,5.37,16.11,1.61,28.46
F0069,9.28,14,278.4,27.84,27.84,83.52,8.35,147.55
F0070,16.22,16,486.6,48.66,48.66,145.98,14.6,257.9
F0071,17.34,15,520.2,52.02,52.02,156.06,15.61,275.71
F0072,13.74,12,412.2,41.22,41.22,123.66,12.37,218.47
F0073,11.75,9,0.0,0.0,0.0,0.0,0.0,0.0
F0074,14.27,12,428.1,42.81,42.81,128.43,12.84,226.89
F0075,15.22,15,456.6,45.66,45.66,136.98,13.7,242.0
F0076,2.94,17,88.2,8.82,8.82,26.46,2.65,46.75
F0077,9.87,16,296.1,29.61,29.61,88.83,8.88,156.93
F0078,6.81,16,204.3,20.43,20.43,61.29,6.13,108.28
F0079,20.28,8,0.0,0.0,0.0,0.0,0.0,0.0
F0080,12.29,16,368.7,36.87,36.87,110.61,11.06,195.41
F0081,24.6,14,738.0,73.8,73.8,221.4,22.14,391.14
F0082,10.57,16,317.1,31.71,31.71,95.13,9.51,168.06
F0083,20.59,15,617.7,61.77,61.77,185.31,18.53,327.38
F0084,20.16,8,0.0,0.0,0.0,0.0,0.0,0.0
F0085,4.62,15,138.6,13.86,13.86,41.58,4.16,73.46
F0086,13.2,15,396.0,39.6,39.6,118.8,11.88,209.88
F0087,17.7,10,442.5,44.25,44.25,132.75,13.28,234.53
F0088,21.6,8,0.0,0.0,0.0,0.0,0.0,0.0
F0089,8.82,15,264.6,26.46,26.46,79.38,7.94,140.24
F0090,6.29,10,157.25,15.73,15.73,47.18,4.72,83.36
F0091,18.07,10,451.75,45.18,45.18,135.52,13.55,239.43
F0092,20.43,8,0.0,0.0,0.0,0.0,0.0,0.0
F0093,9.37,12,281.1,28.11,28.11,84.33,8.43,148.98
F0094,3.31,17,99.3,9.93,9.93,29.79,2.98,52.63
F0095,23.57,14,707.1,70.71,70.71,212.13,21.21,374.76
F0096,10.54,17,316.2,31.62,31.62,94.86,9.49,167.59
F0097,13.43,16,402.9,40.29,40.29,120.87,12.09,213.54
F0098,21.11,14,633.3,63.33,63.33,189.99,19.0,335.65
F0099,17.22,16,516.6,51.66,51.66,154.98,15.5,273.8
F0100,18.65,15,559.5,55.95,55.95,167.85,16.78,296.53
