farm_id,crop_age_months,farm_acreage,sugarcane_variety,soil_type,rainfall_mm,irrigation_type,fertilizer_kg_per_acre
F0001,14,11.79,Co-86032,Clay,963.7,Rainfed,192.3
F0002,11,3.29,CoM-0265,Black Cotton,868.1,Drip,216.9
F0003,15,9.9,CoM-0265,Sandy,1327.9,Drip,157.8
F0004,12,17.05,Co-86032,Black Cotton,814.8,Drip,125.2
F0005,14,16.98,Co-86032,Clay,767.3,Rainfed,86.1
F0006,17,15.19,CoM-0265,Clay,859.0,Drip,209.5
F0007,10,7.59,CoM-0265,Black Cotton,867.4,Rainfed,208.7
F0008,14,14.47,Co-94012,Clay,1069.1,Flood,115.4
F0009,15,10.19,Co-94012,Black Cotton,551.7,Rainfed,177.4
F0010,12,24.32,Co-86032,Sandy,1035.2,Rainfed,90.6
F0011,11,21.37,Co-94012,Black Cotton,841.7,Flood,103.3
F0012,15,18.32,Co-0238,Sandy,1105.4,Rainfed,110.4
F0013,15,6.66,Co-94012,Black Cotton,940.5,Drip,121.2
F0014,10,7.15,Co-94012,Clay,1053.7,Drip,219.4
F0015,13,1.97,Co-0238,Black Cotton,871.7,Rainfed,177.6
F0016,12,18.06,Co-86032,Clay,1037.6,Drip,133.8
F0017,9,3.66,Co-0238,Black Cotton,1282.8,Rainfed,183.2
F0018,15,11.54,Co-94012,Black Cotton,802.2,Drip,208.1
F0019,13,5.84,Co-86032,Loam,928.6,Drip,214.2
F0020,9,22.5,Co-94012,Clay,852.8,Rainfed,88.1
F0021,12,12.41,Co-0238,Loam,1268.6,Drip,135.2
F0022,8,14.52,Co-0238,Clay,863.2,Rainfed,94.9
F0023,17,17.69,Co-94012,Loam,803.5,Drip,127.0
F0024,13,4.34,CoM-0265,Sandy,834.3,Drip,103.8
F0025,16,15.51,CoM-0265,Black Cotton,922.9,Flood,170.6
F0026,8,13.96,Co-0238,Clay,791.3,Flood,134.4
F0027,17,5.87,Co-0238,Clay,876.3,Rainfed,112.1
F0028,10,23.63,CoM-0265,Black Cotton,981.4,Flood,117.2
F0029,14,15.37,CoM-0265,Clay,926.9,Rainfed,130.4
F0030,11,17.67,Co-94012,Clay,1116.3,Flood,116.4
F0031,16,22.13,Co-94012,Loam,886.1,Drip,143.5
F0032,10,15.98,CoM-0265,Clay,909.1,Rainfed,84.5
F0033,12,8.1,Co-94012,Sandy,1004.2,Rainfed,119.2
F0034,10,3.53,Co-94012,,,Drip,
F0035,14,11.96,Co-86032,Black Cotton,792.5,Rainfed,164.4
F0036,12,6.24,Co-94012,Clay,1334.7,Rainfed,117.9
F0037,16,11.0,Co-0238,Black Cotton,713.3,Flood,98.6
F0038,14,22.2,Co-94012,Sandy,995.8,Rainfed,90.7
F0039,9,8.78,Co-94012,Clay,882.1,Drip,211.7
F0040,11,3.93,CoM-0265,Clay,786.9,Flood,138.3
F0041,16,9.55,Co-0238,Black Cotton,1089.8,Flood,161.4
F0042,9,22.76,Co-94012,Sandy,1070.0,Drip,208.7
F0043,17,7.53,Co-94012,Clay,853.8,Drip,91.6
F0044,16,16.54,Co-86032,Black Cotton,531.2,Flood,202.7
F0045,17,1.01,Co-94012,Sandy,866.0,Rainfed,157.2
F0046,12,9.46,Co-94012,Black Cotton,977.8,Flood,103.1
F0047,9,8.31,Co-86032,Loam,950.4,Drip,137.6
F0048,11,4.95,CoM-0265,Clay,1101.2,Flood,188.9
F0049,14,13.82,Co-94012,Loam,1336.7,Drip,147.3
F0050,15,12.64,Co-86032,Sandy,1032.8,Flood,217.9
F0051,10,17.62,Co-0238,Loam,1063.6,Rainfed,132.7
F0052,8,7.47,CoM-0265,Loam,979.6,Flood,184.9
F0053,11,6.86,Co-0238,Sandy,1184.5,Flood,135.0
F0054,9,5.04,Co-0238,Black Cotton,1056.3,Drip,196.1
F0055,15,6.25,Co-86032,Loam,1099.8,Drip,159.7
F0056,11,14.39,Co-94012,Black Cotton,1311.8,Drip,88.9
F0057,9,10.69,Co-86032,Loam,995.4,Flood,85.2
F0058,13,2.56,Co-86032,Black Cotton,895.8,Rainfed,98.7
F0059,13,7.09,Co-86032,Sandy,1039.3,Drip,81.9
F0060,17,6.93,Co-86032,Loam,1177.2,Drip,90.6
F0061,11,17.71,CoM-0265,Sandy,1050.3,Flood,176.8
