cluster_id,farm_count,centroid_lat,centroid_lon,primary_district,total_bagasse_tons,total_leaves_tons,total_press_mud_tons,avg_ndvi_trend_pct,total_biomass_tons
0,3,19.15721,74.82512,Ahmednagar,157.78,66.44,22.419999999999998,-7.50333,246.64
1,9,16.63161,74.29772,Kolhapur,354.89,135.73,52.73,-6.04556,543.35
2,3,17.58532,74.07828,Satara,130.22,50.81,21.16,-8.24,202.19
3,2,16.82207,74.38032,Kolhapur,65.64,22.16,8.69,-9.84,96.49
4,2,16.77744,74.10974,Kolhapur,157.95999999999998,54.36,21.82,-6.37,234.14
5,3,17.79535,75.81264,Solapur,112.96,41.59,12.68,-6.63,167.23
6,2,17.74409,75.98301,Solapur,176.34,59.14,21.59,-5.81,257.07
7,2,19.02994,74.86848,Ahmednagar,132.34,49.589999999999996,19.740000000000002,-6.13,201.67
8,1,16.71183,74.62411,Sangli,44.54,17.92,6.34,-4.92,68.8
9,1,18.46471,73.75519,Pune,43.66,16.35,5.41,-5.79,65.42
10,1,17.66247,76.02597,Solapur,51.8,15.79,8.2,-5.23,75.79
11,1,16.62979,74.09606,Kolhapur,72.26,26.87,9.94,-9.63,109.07
12,1,18.39349,73.75494,Pune,83.06,33.04,7.39,-3.68,123.49
13,1,19.22371,74.79359,Ahmednagar,27.44,9.54,4.29,-4.73,41.27
14,1,16.81644,74.16447,Kolhapur,58.94,22.74,10.61,-4.63,92.29
15,1,17.56587,75.98035,Solapur,46.59,16.42,5.31,-8.33,68.32
16,1,18.61263,73.90398,Pune,38.72,17.18,6.01,-11.06,61.91
17,1,16.73542,74.54181,Sangli,15.78,5.96,1.55,-4.8,23.29
18,1,17.57828,75.83596,Solapur,64.71,24.09,7.79,-8.2,96.59
19,1,17.81337,73.92687,Satara,45.19,16.39,4.47,-6.68,66.05
20,1,16.85804,74.51573,Sangli,45.24,14.68,4.86,-4.84,64.78
21,1,17.62076,73.97935,Satara,73.88,26.53,12.16,-6.48,112.57
22,1,16.78785,74.43614,Sangli,4.59,1.86,0.57,-3.42,7.02
23,1,17.52534,76.04549,Solapur,56.35,17.8,6.67,-4.78,80.82
24,1,16.89209,74.72852,Sangli,65.65,19.46,6.07,-8.24,91.18
25,1,19.00076,74.80875,Ahmednagar,6.98,2.78,0.88,-9.96,10.64
26,1,18.56395,73.8601,Pune,61.42,22.62,8.33,-9.37,92.37
27,1,18.42271,73.85715,Pune,12.44,4.49,1.95,-5.57,18.88
28,1,18.40444,73.8081,Pune,46.05,15.72,5.91,-9.33,67.68
29,1,16.97981,74.54417,Sangli,87.24,27.45,11.02,-9.37,125.71
30,1,16.77978,74.60498,Sangli,18.88,7.2,2.34,-4.76,28.42
31,1,16.9004,74.44228,Sangli,53.65,16.23,7.27,-6.34,77.15
32,1,19.1037,74.68396,Ahmednagar,38.8,14.01,6.07,-9.26,58.88
33,1,19.21493,74.84478,Ahmednagar,28.71,11.75,4.29,-3.25,44.75
34,1,17.69983,75.86446,Solapur,16.63,6.05,2.16,-6.82,24.84
35,1,19.04651,74.63612,Ahmednagar,77.16,26.72,12.22,-11.42,116.1
36,1,17.61466,75.91307,Solapur,44.5,14.97,6.71,-6.86,66.18
37,1,16.82113,74.28017,Kolhapur,79.92,29.33,9.19,-2.54,118.44
