farm_id,crop_age_months,farm_acreage,sugarcane_variety,soil_type,rainfall_mm,irrigation_type,fertilizer_kg_per_acre,bagasse_tons,leaves_tons,press_mud_tons
F0001,14,11.79,Co-86032,Clay,963.7,Rainfed,192.3,44.54,17.92,6.34
F0002,11,3.29,CoM-0265,Black Cotton,868.1,Drip,216.9,9.53,2.8,1.25
F0003,15,9.9,CoM-0265,Sandy,1327.9,Drip,157.8,43.66,16.35,5.41
F0004,12,17.05,Co-86032,Black Cotton,814.8,Drip,125.2,51.8,15.79,8.2
F0005,14,16.98,Co-86032,Clay,767.3,Rainfed,86.1,63.77,18.01,8.93
F0006,17,15.19,CoM-0265,Clay,859.0,Drip,209.5,72.26,26.87,9.94
F0007,10,7.59,CoM-0265,Black Cotton,867.4,Rainfed,208.7,21.74,8.85,2.82
F0008,14,14.47,Co-94012,Clay,1069.1,Flood,115.4,53.47,22.76,7.14
F0009,15,10.19,Co-94012,Black Cotton,551.7,Rainfed,177.4,44.25,15.13,6.77
F0010,12,24.32,Co-86032,Sandy,1035.2,Rainfed,90.6,83.06,33.04,7.39
F0011,11,21.37,Co-94012,Black Cotton,841.7,Flood,103.3,55.89,17.68,9.39
F0012,15,18.32,Co-0238,Sandy,1105.4,Rainfed,110.4,64.96,31.77,10.76
F0013,15,6.66,Co-94012,Black Cotton,940.5,Drip,121.2,27.44,9.54,4.29
F0014,10,7.15,Co-94012,Clay,1053.7,Drip,219.4,18.34,7.52,2.86
F0015,13,1.97,Co-0238,Black Cotton,871.7,Rainfed,177.6,6.33,2.8,1.17
F0016,12,18.06,Co-86032,Clay,1037.6,Drip,133.8,58.94,22.74,10.61
F0017,9,3.66,Co-0238,Black Cotton,1282.8,Rainfed,183.2,8.44,3.2,1.11
F0018,15,11.54,Co-94012,Black Cotton,802.2,Drip,208.1,46.59,16.42,5.31
F0019,13,5.84,Co-86032,Loam,928.6,Drip,214.2,20.04,8.35,2.7
F0020,9,22.5,Co-94012,Clay,852.8,Rainfed,88.1,55.14,16.92,6.52
F0021,12,12.41,Co-0238,Loam,1268.6,Drip,135.2,38.72,17.18,6.01
F0022,8,14.52,Co-0238,Clay,863.2,Rainfed,94.9,32.51,12.15,5.55
F0023,17,17.69,Co-94012,Loam,803.5,Drip,127.0,73.78,25.05,8.56
F0024,13,4.34,CoM-0265,Sandy,834.3,Drip,103.8,15.78,5.96,1.55
F0025,16,15.51,CoM-0265,Black Cotton,922.9,Flood,170.6,64.71,24.09,7.79
F0026,8,13.96,Co-0238,Clay,791.3,Flood,134.4,32.57,11.67,4.82
F0027,17,5.87,Co-0238,Clay,876.3,Rainfed,112.1,26.71,10.68,3.97
F0028,10,23.63,CoM-0265,Black Cotton,981.4,Flood,117.2,70.47,18.58,6.51
F0029,14,15.37,CoM-0265,Clay,926.9,Rainfed,130.4,58.84,20.68,10.32
F0030,11,17.67,Co-94012,Clay,1116.3,Flood,116.4,48.25,22.13,8.7
F0031,16,22.13,Co-94012,Loam,886.1,Drip,143.5,102.02,31.29,9.06
F0032,10,15.98,CoM-0265,Clay,909.1,Rainfed,84.5,40.96,15.94,6.6
F0033,12,8.1,Co-94012,Sandy,1004.2,Rainfed,119.2,24.93,8.79,4.3
F0034,10,3.53,Co-94012,,,Drip,,8.31,3.32,1.21
F0035,14,11.96,Co-86032,Black Cotton,792.5,Rainfed,164.4,45.19,16.39,4.47
F0036,12,6.24,Co-94012,Clay,1334.7,Rainfed,117.9,20.14,7.33,2.02
F0037,16,11.0,Co-0238,Black Cotton,713.3,Flood,98.6,45.24,14.68,4.86
F0038,14,22.2,Co-94012,Sandy,995.8,Rainfed,90.7,91.05,32.18,14.3
F0039,9,8.78,Co-94012,Clay,882.1,Drip,211.7,19.12,6.22,3.77
F0040,11,3.93,CoM-0265,Clay,786.9,Flood,138.3,11.04,3.49,1.21
F0041,16,9.55,Co-0238,Black Cotton,1089.8,Flood,161.4,38.93,11.48,4.72
F0042,9,22.76,Co-94012,Sandy,1070.0,Drip,208.7,49.06,16.36,5.97
F0043,17,7.53,Co-94012,Clay,853.8,Drip,91.6,33.98,12.12,3.8
F0044,16,16.54,Co-86032,Black Cotton,531.2,Flood,202.7,73.88,26.53,12.16
F0045,17,1.01,Co-94012,Sandy,866.0,Rainfed,157.2,4.59,1.86,0.57
F0046,12,9.46,Co-94012,Black Cotton,977.8,Flood,103.1,27.68,9.02,3.72
F0047,9,8.31,Co-86032,Loam,950.4,Drip,137.6,19.33,8.26,2.29
F0048,11,4.95,CoM-0265,Clay,1101.2,Flood,188.9,12.71,5.78,2.19
F0049,14,13.82,Co-94012,Loam,1336.7,Drip,147.3,56.35,17.8,6.67
F0050,15,12.64,Co-86032,Sandy,1032.8,Flood,217.9,45.31,21.59,8.27
F0051,10,17.62,Co-0238,Loam,1063.6,Rainfed,132.7,48.13,20.49,5.31
F0052,8,7.47,CoM-0265,Loam,979.6,Flood,184.9,17.87,4.99,2.67
F0053,11,6.86,Co-0238,Sandy,1184.5,Flood,135.0,20.31,6.85,3.03
F0054,9,5.04,Co-0238,Black Cotton,1056.3,Drip,196.1,13.38,5.15,1.26
F0055,15,6.25,Co-86032,Loam,1099.8,Drip,159.7,23.35,9.85,3.32
F0056,11,14.39,Co-94012,Black Cotton,1311.8,Drip,88.9,44.95,12.19,7.37
F0057,9,10.69,Co-86032,Loam,995.4,Flood,85.2,25.86,10.35,4.63
F0058,13,2.56,Co-86032,Black Cotton,895.8,Rainfed,98.7,9.36,3.64,1.22
F0059,13,7.09,Co-86032,Sandy,1039.3,Drip,81.9,21.89,9.79,3.41
F0060,17,6.93,Co-86032,Loam,1177.2,Drip,90.6,28.65,12.76,5.65
F0061,11,17.71,CoM-0265,Sandy,1050.3,Flood,176.8,47.18,21.31,7.73
F0062,13,18.09,Co-94012,Loam,1162.1,Drip,154.8,65.65,19.46,6.07
F0063,9,4.55,Co-0238,Sandy,816.2,Rainfed,185.0,11.86,3.47,1.96
F0064,17,24.95,Co-0238,Sandy,776.4,Rainfed,207.8,120.16,43.01,13.24
F0065,9,7.4,Co-94012,Loam,841.0,Drip,161.9,15.68,7.51,2.63
F0066,17,24.44,Co-0238,Loam,696.5,Drip,181.7,120.97,36.63,12.11
F0067,11,10.86,Co-94012,Loam,972.1,Flood,186.0,30.69,11.89,3.09
F0068,15,1.79,Co-0238,Clay,864.0,Rainfed,132.9,6.98,2.78,0.88
F0069,14,9.28,Co-86032,Black Cotton,1196.0,Rainfed,113.8,31.22,12.19,5.78
F0070,16,16.22,Co-0238,Clay,691.8,Drip,108.7,73.31,27.18,8.29
F0071,15,17.34,Co-94012,Clay,1261.0,Flood,115.2,63.85,29.26,7.93
F0072,12,13.74,Co-94012,Sandy,753.8,Rainfed,118.5,44.67,16.65,5.0
F0073,9,11.75,Co-94012,Loam,702.4,Rainfed,109.0,30.6,10.31,4.01
F0074,12,14.27,Co-94012,Black Cotton,785.1,Flood,203.0,40.97,15.97,8.46
F0075,15,15.22,Co-94012,Sandy,1340.3,Flood,186.0,61.42,22.62,8.33
F0076,17,2.94,CoM-0265,Clay,942.0,Rainfed,86.6,12.44,4.49,1.95
F0077,16,9.87,CoM-0265,Loam,1055.9,Rainfed,117.6,40.46,14.42,7.35
F0078,16,6.81,Co-0238,Sandy,913.2,Flood,83.1,28.87,10.59,4.18
F0079,8,20.28,Co-94012,Loam,932.0,Rainfed,149.7,41.7,12.62,4.8
F0080,16,12.29,Co-0238,Sandy,848.8,Drip,146.7,54.39,16.62,6.39
F0081,14,24.6,Co-94012,,,Drip,,91.37,33.62,11.28
F0082,16,10.57,Co-94012,,,Flood,,46.05,15.72,5.91
F0083,15,20.59,CoM-0265,Black Cotton,1285.7,Flood,194.3,87.24,27.45,11.02
F0084,8,20.16,CoM-0265,Clay,575.1,Flood,215.5,43.63,17.01,7.26
F0085,15,4.62,Co-86032,,,Drip,,18.88,7.2,2.34
F0086,15,13.2,CoM-0265,Loam,1055.6,Rainfed,190.9,53.65,16.23,7.27
